Date,Open,High,Low,Close,Volume,Adj Close
2014-05-26,52.50,52.71,52.10,52.49,2011800,52.49
2014-05-23,51.82,52.27,51.63,52.22,3085900,52.22
2014-05-22,51.32,51.75,50.85,51.66,3686900,51.66
2014-05-21,50.40,51.21,50.10,51.00,5284300,51.00
2014-05-20,50.88,51.82,50.62,51.68,4508800,51.68
2014-05-19,52.13,52.71,51.56,52.20,5072900,50.70
2014-05-16,52.17,52.73,51.59,52.49,8001700,50.98
2014-05-15,52.73,53.18,51.65,52.17,7000000,50.67
2014-05-14,52.59,53.30,52.45,52.88,3466600,51.36
2014-05-13,53.24,53.33,52.08,53.06,5914300,51.54
2014-05-12,53.24,53.58,52.59,53.29,3187800,51.76
2014-05-09,53.34,53.64,52.67,52.98,3633000,51.46
2014-05-08,52.62,53.86,52.31,53.53,6457900,51.99
2014-05-07,51.59,52.59,51.24,52.52,6670200,51.01
2014-05-06,52.71,52.77,51.71,51.80,4986600,50.31
2014-05-05,52.35,52.57,51.45,52.46,3728500,50.95
2014-05-02,53.07,53.49,51.92,52.48,9055300,50.97
2014-05-01,54.11,54.11,54.11,54.11,000,52.56
2014-04-30,54.00,54.72,52.92,54.11,9915400,52.56
2014-04-29,55.11,56.09,54.96,55.90,4035000,54.29
2014-04-28,55.55,55.98,54.95,55.07,3084800,53.49
2014-04-25,55.39,55.99,54.81,55.08,2873300,53.50
2014-04-24,55.29,56.14,55.02,55.78,4940000,54.18
2014-04-23,55.79,55.83,54.88,54.96,2952800,53.38
2014-04-22,54.95,55.98,54.55,55.67,3741300,54.07
2014-04-21,54.49,54.49,54.49,54.49,000,52.92
2014-04-18,54.49,54.49,54.49,54.49,000,52.92
2014-04-17,54.40,54.82,54.10,54.49,3339500,52.92
2014-04-16,54.24,54.53,53.82,54.27,3991000,52.71
2014-04-15,54.79,55.00,53.52,53.55,4169900,52.01
2014-04-14,54.82,55.01,53.74,54.70,4188000,53.13
2014-04-11,55.70,56.00,54.33,55.02,6018100,53.44
2014-04-10,57.27,57.31,56.02,56.13,4249700,54.52
2014-04-09,57.62,57.81,56.74,56.90,3445900,55.26
2014-04-08,58.42,58.60,56.93,57.62,4719900,55.96
2014-04-07,58.76,59.00,58.01,58.25,4048900,56.58
2014-04-04,58.72,59.85,58.45,59.38,4299600,57.67
2014-04-03,57.98,59.33,57.72,58.62,4697100,56.94
2014-04-02,57.54,58.16,57.53,57.97,2984000,56.30
2014-04-01,56.50,58.10,56.31,57.50,4684800,55.85
2014-03-31,56.29,56.73,55.54,55.99,4410500,54.38
2014-03-28,55.83,56.12,55.39,56.10,4002600,54.49
2014-03-27,56.44,56.44,55.43,55.68,4367900,54.08
2014-03-26,57.19,57.36,56.36,56.48,4679400,54.86
2014-03-25,56.03,57.17,56.03,56.87,4263900,55.24
2014-03-24,56.82,57.30,55.60,55.94,4251600,54.33
2014-03-21,56.88,57.52,56.73,56.98,5520800,55.34
2014-03-20,56.14,56.88,55.88,56.88,4695000,55.25
2014-03-19,57.46,57.74,56.54,56.65,4252600,55.02
2014-03-18,56.91,58.15,56.36,57.66,5102500,56.00
2014-03-17,55.31,56.86,55.15,56.62,4217300,54.99
2014-03-14,55.84,56.55,54.72,55.26,5794100,53.67
2014-03-13,57.77,57.96,56.44,56.44,3148000,54.82
2014-03-12,57.63,57.78,56.51,57.46,5204100,55.81
2014-03-11,58.99,59.18,58.01,58.05,2793500,56.38
2014-03-10,58.34,59.58,58.26,58.71,2811000,57.02
2014-03-07,59.44,59.80,58.47,58.47,3412000,56.79
2014-03-06,59.49,60.10,59.37,59.50,3989700,57.79
2014-03-05,59.05,59.80,58.89,59.36,4063400,57.65
2014-03-04,57.90,59.25,57.69,59.09,5320900,57.39
2014-03-03,58.05,58.41,57.02,57.27,6108200,55.62
2014-02-28,59.35,59.59,58.56,59.46,3534500,57.75
2014-02-27,59.19,59.34,58.30,59.15,4235300,57.45
2014-02-26,59.56,59.58,58.66,59.04,2928600,57.34
2014-02-25,59.23,59.50,58.88,59.50,2555800,57.79
2014-02-24,58.30,59.37,58.16,59.34,2902900,57.63
2014-02-21,58.89,58.91,58.16,58.63,2927100,56.95
2014-02-20,57.46,58.59,57.24,58.52,3415900,56.84
2014-02-19,58.15,58.74,57.57,58.38,3166200,56.70
2014-02-18,58.42,58.58,57.35,58.38,3664700,56.70
2014-02-17,58.52,58.98,58.05,58.45,2689200,56.77
