Date,Open,High,Low,Close,Volume,Adj Close
2014-05-26,42.54,43.13,42.35,43.13,2594000,42.13
2014-05-23,42.35,42.48,42.03,42.38,3141800,41.39
2014-05-22,42.49,42.60,41.78,42.13,2966100,41.15
2014-05-21,41.44,42.47,41.08,42.26,5058800,41.29
2014-05-20,40.76,41.79,40.56,41.44,4385900,40.47
2014-05-19,41.52,41.62,40.25,40.96,6345600,40.01
2014-05-16,42.00,42.15,41.09,41.65,7074900,40.69
2014-05-15,43.01,43.50,41.67,42.01,6866100,41.04
2014-05-14,43.92,43.99,42.94,43.19,5197800,42.19
2014-05-13,45.06,45.08,43.38,43.91,5824900,42.89
2014-05-12,44.19,44.60,43.97,44.32,3074900,43.29
2014-05-09,44.96,45.24,43.86,44.15,3821400,43.13
2014-05-08,43.75,44.90,43.23,44.85,5342400,43.81
2014-05-07,43.50,43.92,42.85,43.51,6175300,42.51
2014-05-06,44.58,44.65,43.60,43.88,4660900,42.86
2014-05-05,44.85,44.85,43.72,44.44,3052000,43.40
2014-05-02,44.74,45.27,44.58,44.94,3516800,43.89
2014-05-01,44.80,44.80,44.80,44.80,000,43.76
2014-04-30,44.90,45.05,44.26,44.80,3340300,43.76
2014-04-29,43.93,45.43,43.72,45.10,6520800,44.05
2014-04-28,43.38,43.56,42.83,43.20,2496700,42.20
2014-04-25,43.51,43.84,42.91,43.20,4101200,42.20
2014-04-24,44.07,44.73,43.24,44.05,3499000,43.03
2014-04-23,44.06,44.24,43.62,43.85,3146900,42.83
2014-04-22,43.70,44.33,43.24,44.03,3773500,43.00
2014-04-21,43.19,43.19,43.19,43.19,000,42.19
2014-04-18,43.19,43.19,43.19,43.19,000,42.19
2014-04-17,42.74,43.50,42.49,43.19,3399200,42.19
2014-04-16,42.51,42.67,42.00,42.65,5433900,41.67
2014-04-15,43.06,43.55,41.83,42.03,5548200,41.06
2014-04-14,43.46,43.70,42.21,43.06,5371200,42.06
2014-04-11,44.05,44.33,43.03,43.76,5477400,42.75
2014-04-10,45.47,45.55,44.22,44.38,4631600,43.35
2014-04-09,45.49,45.83,45.00,45.09,3775600,44.04
2014-04-08,46.31,46.66,44.76,45.53,5481200,44.47
2014-04-07,46.97,47.12,46.20,46.32,4906600,45.25
2014-04-04,47.39,47.83,47.23,47.65,3751500,46.54
2014-04-03,46.94,47.89,46.69,47.39,5027500,46.29
2014-04-02,46.67,47.08,46.51,46.85,3305600,45.76
2014-04-01,45.22,46.96,45.10,46.67,5495100,45.59
2014-03-31,44.80,45.15,44.42,44.71,3254600,43.67
2014-03-28,44.26,44.60,44.10,44.56,2542400,43.52
2014-03-27,44.28,44.58,43.79,43.97,2971700,42.95
2014-03-26,44.10,44.81,43.81,44.28,3907800,43.25
2014-03-25,43.51,44.07,43.24,43.74,3721500,42.73
2014-03-24,44.51,44.74,43.34,43.42,5596200,42.41
2014-03-21,45.50,45.60,44.64,44.71,4680200,43.67
2014-03-20,44.51,45.31,44.30,45.28,3839400,44.23
2014-03-19,45.12,45.40,44.51,44.89,3972100,43.85
2014-03-18,44.35,45.55,43.99,45.04,5365100,44.00
2014-03-17,44.06,44.74,43.37,44.34,5002900,43.31
2014-03-14,44.50,44.92,43.31,44.00,7060700,42.98
2014-03-13,46.21,46.44,44.99,44.99,4193100,43.94
2014-03-12,46.00,46.32,45.25,46.01,4794400,44.94
2014-03-11,47.28,47.28,46.33,46.45,2875400,45.37
2014-03-10,46.79,47.78,46.41,47.03,4049500,45.93
2014-03-07,47.72,47.83,46.53,46.91,4645600,45.82
2014-03-06,47.95,48.42,47.43,47.51,4153000,46.40
2014-03-05,47.40,47.88,47.25,47.68,3846200,46.57
2014-03-04,46.72,47.63,46.15,47.30,7213500,46.20
2014-03-03,46.80,47.00,44.74,45.75,13106900,44.69
2014-02-28,48.49,48.69,47.59,48.38,4468400,47.25
2014-02-27,47.95,48.36,46.91,48.20,5127500,47.08
2014-02-26,47.73,47.94,47.35,47.86,3433600,46.75
2014-02-25,47.99,48.00,47.12,47.53,4193900,46.43
2014-02-24,47.10,47.95,47.04,47.95,3072200,46.84
2014-02-21,47.00,47.30,46.57,47.29,3368000,46.19
2014-02-20,45.94,46.72,45.71,46.72,3991200,45.64
2014-02-19,46.99,47.34,46.32,46.80,4007500,45.71
2014-02-18,47.27,47.47,46.70,47.08,4239400,45.99
2014-02-17,47.42,47.56,46.79,47.15,2063400,46.06
2014-02-14,47.50,47.85,46.66,47.20,5011500,46.11
2014-02-13,46.44,47.26,45.85,46.77,5729500,45.69
2014-02-12,45.25,46.99,45.17,46.35,9310900,45.28
2014-02-11,44.33,44.50,43.85,44.26,4349600,43.24
2014-02-10,44.27,44.28,43.53,43.92,3346300,42.91
2014-02-07,43.85,44.32,43.42,43.90,4579800,42.88
2014-02-06,43.08,44.00,42.49,43.56,7255400,42.55
2014-02-05,42.33,42.94,42.10,42.62,4343700,41.63
2014-02-04,40.88,42.46,40.80,42.22,5605800,41.25
2014-02-03,41.99,42.17,40.72,40.98,5333300,40.03
2014-01-31,42.92,42.94,41.38,42.08,6503400,41.10
2014-01-30,43.28,43.35,42.40,42.93,5464400,41.93
2014-01-29,44.15,44.67,42.19,43.24,6002500,42.23
2014-01-28,43.34,43.94,43.12,43.42,4166300,42.42
2014-01-27,42.80,43.56,42.40,42.81,4967500,41.82
2014-01-24,44.58,44.81,42.49,42.80,7895500,41.81
2014-01-23,44.79,45.40,44.15,44.48,4101000,43.45
2014-01-22,44.81,45.08,44.13,44.63,2933300,43.60
2014-01-21,44.88,45.07,44.38,44.55,3032200,43.52
2014-01-20,44.65,44.90,44.12,44.40,3511500,43.37
2014-01-17,45.17,45.57,44.47,44.85,4793500,43.81
2014-01-16,46.35,46.38,45.08,45.19,4839700,44.14
2014-01-15,44.78,46.23,44.78,46.23,5360000,45.16
2014-01-14,44.35,44.72,44.02,44.61,4497300,43.58
2014-01-13,44.41,45.20,44.40,44.94,3188500,43.90
2014-01-10,44.87,45.16,43.74,44.00,4197500,42.98
2014-01-09,44.70,45.74,44.37,44.57,7103000,43.54
2014-01-08,43.53,44.81,43.47,44.68,7037300,43.64
2014-01-07,41.92,43.66,41.63,43.39,5724300,42.38
2014-01-06,41.32,42.03,41.24,41.71,2753800,40.74
2014-01-03,41.58,41.85,41.28,41.33,2878600,40.37
2014-01-02,42.25,42.40,41.45,41.52,3300000,40.56
2014-01-01,42.22,42.22,42.22,42.22,000,41.24
2013-12-31,42.05,42.36,42.05,42.22,493700,41.24
2013-12-30,42.06,42.40,41.94,42.10,1882000,41.12
2013-12-27,41.78,42.09,41.61,42.01,2217400,41.03
2013-12-26,41.50,41.50,41.50,41.50,000,40.54
2013-12-25,41.50,41.50,41.50,41.50,000,40.54
2013-12-24,41.40,41.70,41.28,41.50,530600,40.54
2013-12-23,40.81,41.59,40.81,41.50,3279400,40.54
2013-12-20,40.81,41.20,40.53,40.90,5762900,39.95
2013-12-19,40.92,41.56,40.44,40.83,5481300,39.89
2013-12-18,39.72,40.38,39.60,40.24,3590700,39.30
2013-12-17,39.90,40.03,39.57,39.57,3518600,38.65
2013-12-16,39.44,40.44,39.35,40.19,4726800,39.25
2013-12-13,39.64,40.17,39.44,39.46,2880200,38.54
2013-12-12,39.72,40.03,39.26,39.53,3006300,38.62
2013-12-11,40.16,40.38,39.81,39.84,3193700,38.92
2013-12-10,40.59,40.92,40.06,40.16,3810700,39.23
2013-12-09,40.65,40.84,40.26,40.65,3039300,39.71
2013-12-06,39.90,40.70,39.60,40.42,4088000,39.48
2013-12-05,40.15,40.94,39.57,39.73,4849600,38.81
2013-12-04,40.99,41.12,39.81,40.38,4252500,39.44
2013-12-03,42.10,42.21,40.80,40.80,4003300,39.85
2013-12-02,42.35,42.60,42.02,42.17,2350900,41.20
2013-11-29,42.35,42.76,42.31,42.33,2347800,41.35
2013-11-28,42.00,42.47,41.99,42.26,1938500,41.28
2013-11-27,41.55,42.15,41.48,41.99,3334200,41.02
2013-11-26,41.51,41.85,41.35,41.45,3352200,40.49
2013-11-25,40.79,41.51,40.74,41.49,4940700,40.53
2013-11-22,40.56,40.79,40.40,40.56,2711000,39.62
2013-11-21,40.00,40.57,39.85,40.42,4256200,39.49
2013-11-20,40.85,40.92,40.13,40.46,5269800,39.52
2013-11-19,41.35,41.62,40.72,40.94,3802900,40.00
2013-11-18,41.45,42.32,41.24,41.72,3813800,40.75
2013-11-15,41.39,41.92,41.22,41.47,4146800,40.51
2013-11-14,41.60,41.69,40.13,41.04,3867200,40.09
2013-11-13,40.69,40.97,40.12,40.72,4109200,39.77
2013-11-12,40.98,41.45,40.74,40.76,2683900,39.82
2013-11-11,40.90,41.17,40.38,40.98,3107000,40.03
2013-11-08,41.01,41.25,40.10,40.77,7427500,39.82
2013-11-07,40.62,42.97,40.49,41.74,10504400,40.78
2013-11-06,40.51,40.70,40.08,40.57,3406800,39.63
2013-11-05,41.60,41.62,39.76,40.35,5257400,39.41
2013-11-04,41.97,41.98,41.19,41.42,2418500,40.46
2013-11-01,41.83,42.35,41.47,41.62,2566300,40.66
2013-10-31,40.92,41.95,40.85,41.82,4741800,40.85
2013-10-30,40.87,41.17,40.52,40.76,3283400,39.81
2013-10-29,39.75,40.88,39.51,40.81,3441200,39.86
2013-10-28,41.03,41.21,39.94,40.13,4066600,39.20
2013-10-25,41.11,41.22,40.51,40.90,3118200,39.95
2013-10-24,41.39,41.69,41.21,41.40,3804800,40.44
2013-10-23,41.38,41.42,40.51,40.70,4113300,39.76
2013-10-22,41.56,42.08,41.31,41.71,3546500,40.74
2013-10-21,42.29,42.35,41.46,41.72,3925100,40.75
2013-10-18,42.00,42.55,41.67,42.48,5050400,41.50
2013-10-17,41.83,41.90,41.09,41.83,2809100,40.87
2013-10-16,41.42,42.03,41.35,41.85,3679300,40.87
2013-10-15,40.92,41.72,40.73,41.57,4001200,40.61
2013-10-14,40.26,40.75,40.06,40.69,2469200,39.74
2013-10-11,40.78,40.84,39.98,40.60,4426500,39.65
2013-10-10,39.30,40.79,39.05,40.44,6510400,39.50
2013-10-09,38.51,39.47,38.40,38.96,4187700,38.06
2013-10-08,39.26,39.35,38.40,38.40,4039200,37.50
2013-10-07,38.67,39.27,38.37,39.27,3094500,38.36
2013-10-04,38.38,39.14,38.22,38.92,3189200,38.02
2013-10-03,39.00,39.14,38.05,38.21,3093900,37.32
2013-10-02,37.69,39.17,37.56,38.80,6818100,37.90
2013-10-01,36.90,37.85,36.90,37.85,3927600,36.97
2013-09-30,36.50,36.89,36.21,36.83,3570000,35.98
2013-09-27,37.12,37.38,36.74,37.17,2751100,36.30
2013-09-26,37.40,37.41,36.62,37.06,3394700,36.20
2013-09-25,36.83,37.47,36.71,37.33,4795400,36.46
2013-09-24,37.33,37.51,36.99,37.47,4167400,36.61
2013-09-23,37.90,37.99,37.22,37.44,4345600,36.57
2013-09-20,38.01,38.15,37.46,37.90,7393400,37.02
2013-09-19,38.91,38.94,37.99,38.23,5786900,37.34
2013-09-18,37.43,38.38,37.28,38.03,5553500,37.14
2013-09-17,37.26,37.69,36.90,37.35,3929900,36.49
2013-09-16,37.48,37.69,37.16,37.40,4130100,36.54
2013-09-13,36.50,36.80,35.81,36.80,4280500,35.95
2013-09-12,37.10,37.51,36.54,36.74,5004000,35.89
2013-09-11,36.75,37.06,36.33,37.06,5199000,36.21
2013-09-10,35.90,37.00,35.90,36.74,7888700,35.89
2013-09-09,34.99,35.49,34.87,35.40,4084300,34.58
2013-09-06,33.93,34.81,33.78,34.81,5328100,34.00
2013-09-05,33.98,34.54,33.85,34.08,3982600,33.29
2013-09-04,33.94,34.08,33.06,33.88,4702500,33.09
2013-09-03,34.30,34.36,33.28,33.83,4537400,33.05
2013-09-02,33.69,34.58,33.50,34.17,4105000,33.38
2013-08-30,33.70,33.85,33.00,33.12,4155400,32.35
2013-08-29,33.48,33.81,33.15,33.67,3919400,32.89
2013-08-28,32.51,33.35,32.24,33.08,5109200,32.31
2013-08-27,34.06,34.27,32.70,32.81,8046700,32.04
2013-08-26,34.81,34.83,34.13,34.40,2074100,33.61
2013-08-23,34.76,35.14,34.26,34.90,3207700,34.09
2013-08-22,33.80,34.93,33.74,34.67,4352400,33.87
2013-08-21,34.15,34.49,33.67,33.82,3883200,33.04
2013-08-20,34.61,34.69,33.43,34.00,7663400,33.21
2013-08-19,35.81,35.90,34.88,34.99,4212500,34.18
2013-08-16,35.27,36.04,35.15,35.92,4125300,35.09
2013-08-15,35.47,36.02,34.71,35.33,4434800,34.51
2013-08-14,35.21,35.71,34.96,35.51,4524700,34.69
2013-08-13,35.00,35.35,34.71,35.15,6546800,34.33
2013-08-12,35.80,36.00,35.51,35.60,3183600,34.77
2013-08-09,35.25,36.00,35.17,35.74,5396600,34.91
2013-08-08,34.58,35.20,34.53,35.20,6385400,34.38
2013-08-07,33.33,34.58,33.15,34.38,5892300,33.58
2013-08-06,34.51,34.70,33.26,33.56,7017400,32.78
2013-08-05,34.10,34.86,33.99,34.42,5097100,33.63
2013-08-02,33.51,34.22,33.10,34.06,7509500,33.27
2013-08-01,31.70,34.04,31.57,33.35,15975400,32.58
2013-07-31,30.44,30.50,29.90,30.22,5069000,29.51
2013-07-30,30.70,30.76,29.67,30.50,5441800,29.79
2013-07-29,30.52,30.91,30.06,30.53,4267300,29.83
2013-07-26,30.61,31.04,30.17,30.44,3563200,29.74
2013-07-25,30.40,30.52,29.71,30.44,4428800,29.74
2013-07-24,29.52,30.43,29.52,30.29,5394800,29.59
2013-07-23,29.95,30.17,29.40,29.51,3880500,28.83
2013-07-22,29.28,30.10,29.28,29.72,3943900,29.03
2013-07-19,28.94,29.69,28.85,29.28,4872100,28.60
2013-07-18,27.80,29.15,27.62,29.11,8447400,28.44
2013-07-17,28.03,28.19,27.49,27.92,4426000,27.27
2013-07-16,28.37,28.44,27.78,27.94,3051700,27.29
2013-07-15,27.93,28.49,27.93,28.28,2830800,27.63
2013-07-12,28.00,28.33,27.61,27.90,4020800,27.25
2013-07-11,28.25,28.60,27.70,27.88,4981400,27.23
2013-07-10,27.74,28.02,27.44,27.78,3883000,27.14
2013-07-09,28.00,28.20,27.35,27.74,4495300,27.09
2013-07-08,27.26,28.05,27.11,27.66,4092000,27.02
2013-07-05,27.48,28.05,26.98,27.00,6610700,26.37
2013-07-04,26.15,27.42,25.93,27.20,7799200,26.57
2013-07-03,25.90,25.97,25.25,25.86,7306700,25.27
2013-07-02,26.86,26.92,26.17,26.40,3963100,25.79
2013-07-01,26.67,27.06,25.78,26.72,6557600,26.10
2013-06-28,27.55,27.83,26.35,26.40,8090600,25.79
2013-06-27,27.72,28.06,27.14,27.55,4786000,26.91
2013-06-26,26.73,27.98,26.46,27.65,5720900,27.01
2013-06-25,27.05,27.18,26.66,26.71,5778500,26.09
2013-06-24,26.81,27.18,26.03,26.58,8361200,25.96
2013-06-21,27.37,27.90,26.85,26.95,8330600,26.33
2013-06-20,28.10,28.33,27.32,27.54,7957200,26.90
2013-06-19,28.96,29.11,28.60,28.81,4212000,28.14
2013-06-18,28.92,29.49,28.74,29.07,3041200,28.40
2013-06-17,28.70,29.15,28.25,28.94,3509100,28.27
2013-06-14,28.74,28.95,28.42,28.56,4164300,27.90
2013-06-13,27.99,28.44,27.60,28.25,6082300,27.60
2013-06-12,28.90,29.20,28.21,28.45,6231100,27.80
2013-06-11,29.58,29.62,28.54,29.19,5929300,28.52
2013-06-10,30.13,30.44,29.50,29.72,3860400,29.03
2013-06-07,29.67,30.36,29.44,30.15,5791200,29.45
2013-06-06,30.40,30.45,29.54,29.61,5281400,28.93
2013-06-05,30.75,31.19,30.36,30.42,4274200,29.72
2013-06-04,31.46,31.59,31.03,31.03,4001400,30.31
2013-06-03,30.55,31.24,30.35,30.59,4676800,29.89
2013-05-31,31.22,31.24,30.67,30.86,4445500,30.14
2013-05-30,30.92,31.64,30.77,31.09,3762100,30.37
2013-05-29,31.40,31.56,30.90,31.01,4508700,30.29
2013-05-28,31.25,32.38,31.25,31.88,6034400,30.70
2013-05-27,30.90,31.14,30.77,30.92,1326600,29.78
2013-05-24,31.23,31.39,30.37,30.64,3896200,29.50
2013-05-23,31.20,31.39,30.50,30.89,9258300,29.74
2013-05-22,32.15,32.40,31.45,32.13,4294700,30.94
2013-05-21,32.19,32.39,31.60,32.00,4763600,30.82
2013-05-20,31.45,32.38,31.42,32.15,4618900,30.97
2013-05-17,30.41,31.85,30.40,31.50,8522700,30.34
2013-05-16,30.20,30.99,30.16,30.76,3851400,29.63
2013-05-15,29.70,30.88,29.61,30.60,5115600,29.47
2013-05-14,29.99,30.11,29.43,30.00,4144800,28.89
2013-05-13,29.82,30.09,29.30,29.84,3989700,28.74
2013-05-10,30.48,30.82,29.84,30.07,5111100,28.95
2013-05-09,30.84,31.18,30.45,30.68,3166600,29.55
2013-05-08,30.16,31.08,30.02,30.72,5832300,29.58
2013-05-07,29.50,30.83,29.26,30.14,10806700,29.03
2013-05-06,28.53,28.54,28.20,28.52,2197900,27.47
2013-05-03,27.93,28.76,27.65,28.55,5396300,27.49
2013-05-02,27.15,28.39,27.06,27.78,5811400,26.75
2013-05-01,27.58,27.58,27.58,27.58,000,26.56
2013-04-30,27.45,28.19,27.44,27.58,7354200,26.56
2013-04-29,26.93,27.40,26.81,27.20,4623400,26.19
2013-04-26,26.82,26.92,26.36,26.73,4344900,25.74
2013-04-25,26.79,27.07,26.41,26.97,3575500,25.97
2013-04-24,26.97,27.08,26.17,26.78,6000900,25.79
2013-04-23,25.04,26.79,25.01,26.76,8136800,25.77
2013-04-22,25.14,25.50,24.83,25.00,4209700,24.07
2013-04-19,24.54,25.06,24.33,24.78,5610300,23.86
2013-04-18,25.26,25.66,23.44,24.30,10565000,23.40
2013-04-17,26.35,26.51,24.92,25.17,6637200,24.24
2013-04-16,25.83,26.64,25.51,26.16,5021000,25.19
2013-04-15,26.43,26.65,25.55,26.10,5217400,25.13
2013-04-12,27.00,27.09,26.13,26.40,6468300,25.42
2013-04-11,26.70,27.45,26.39,27.19,7312700,26.18
2013-04-10,25.50,27.13,25.40,26.81,8459900,25.81
2013-04-09,25.25,25.60,24.97,25.26,5253300,24.33
2013-04-08,25.56,25.72,24.88,25.09,3911100,24.17
2013-04-05,25.50,25.83,25.00,25.40,5494400,24.46
2013-04-04,25.90,26.33,25.27,25.42,6272100,24.48
2013-04-03,26.47,26.58,25.59,25.73,4630200,24.77
2013-04-02,25.74,26.60,25.58,26.54,5952700,25.56
2013-04-01,25.63,25.63,25.63,25.63,000,24.68
2013-03-29,25.63,25.63,25.63,25.63,000,24.68
2013-03-28,25.34,26.21,24.96,25.63,7320800,24.68
2013-03-27,25.95,26.03,24.88,25.48,9279600,24.53
2013-03-26,25.74,26.12,25.16,25.74,9768800,24.78
2013-03-25,28.55,28.60,25.50,25.78,13665900,24.83
2013-03-22,28.00,28.11,27.16,27.43,6895100,26.42
2013-03-21,28.24,28.56,27.93,28.14,4914900,27.10
2013-03-20,28.16,28.60,27.67,28.19,6397800,27.15
2013-03-19,28.85,28.88,27.54,27.84,7343800,26.81
2013-03-18,28.88,29.09,28.00,28.98,8398500,27.90
2013-03-15,30.70,30.74,29.93,29.98,6375400,28.87
2013-03-14,30.34,30.66,30.15,30.50,3735600,29.37
2013-03-13,30.45,30.60,29.94,30.06,4271100,28.94
2013-03-12,30.81,31.08,30.45,30.62,3513400,29.49
2013-03-11,30.59,31.14,30.31,30.92,3685800,29.78
2013-03-08,29.66,30.86,29.62,30.84,6050000,29.70
2013-03-07,29.71,29.91,28.91,29.46,4709200,28.37
2013-03-06,29.70,29.99,29.49,29.64,3925700,28.54
2013-03-05,29.12,29.91,29.12,29.83,5304700,28.73
2013-03-04,28.45,29.05,28.08,28.67,3172000,27.61
2013-03-01,29.38,29.42,28.05,28.65,5713700,27.59
2013-02-28,29.31,29.79,29.00,29.41,4639800,28.32
2013-02-27,28.46,29.31,28.07,29.17,5134300,28.10
2013-02-26,28.19,28.95,27.64,28.20,11330600,27.16
2013-02-25,30.00,31.27,29.51,29.83,8477400,28.72
2013-02-22,29.50,30.12,29.42,29.82,4729600,28.72
2013-02-21,30.25,30.39,29.23,29.28,5995100,28.20
2013-02-20,31.24,31.48,30.67,30.67,4571700,29.54
2013-02-19,30.40,31.25,30.27,31.16,4828500,30.00
