Date,Adj Close
2014-05-22,124.67
2014-05-21,124.39
2014-05-20,124.69
2014-05-19,124.58
2014-05-16,124.50
2014-05-15,124.77
2014-05-14,125.81
2014-05-13,124.60
2014-05-12,124.94
2014-05-09,124.10
2014-05-08,124.17
2014-05-07,124.17
2014-05-06,125.98
2014-05-05,126.22
2014-05-02,125.06
2014-05-01,123.80
2014-04-30,124.22
2014-04-29,124.86
2014-04-28,124.88
2014-04-25,125.43
2014-04-24,124.56
2014-04-23,123.76
2014-04-22,123.78
2014-04-21,124.24
2014-04-17,124.75
2014-04-16,125.54
2014-04-15,125.49
2014-04-14,127.85
2014-04-11,126.93
2014-04-10,127.01
2014-04-09,126.32
2014-04-08,126.09
2014-04-07,124.91
2014-04-04,125.57
2014-04-03,123.92
2014-04-02,124.32
2014-04-01,123.39
2014-03-31,123.61
2014-03-28,124.56
2014-03-27,124.59
2014-03-26,125.41
2014-03-25,126.41
2014-03-24,126.18
2014-03-21,128.47
2014-03-20,127.86
2014-03-19,128.09
2014-03-18,130.62
2014-03-17,131.64
2014-03-14,133.10
2014-03-13,132.21
2014-03-12,131.76
2014-03-11,129.86
2014-03-10,129.13
2014-03-07,129.09
2014-03-06,130.17
2014-03-05,128.89
2014-03-04,128.68
2014-03-03,130.29
2014-02-28,127.62
2014-02-27,128.20
2014-02-26,128.11
2014-02-25,129.21
2014-02-24,128.99
2014-02-21,127.58
2014-02-20,127.60
2014-02-19,126.27
2014-02-18,127.40
2014-02-14,127.15
2014-02-13,125.49
2014-02-12,124.43
2014-02-11,124.36
2014-02-10,122.92
2014-02-07,122.17
2014-02-06,121.24
2014-02-05,121.29
2014-02-04,120.99
2014-02-03,121.32
2014-01-31,120.09
2014-01-30,119.77
2014-01-29,122.47
2014-01-28,120.95
2014-01-27,120.96
2014-01-24,122.29
2014-01-23,121.79
2014-01-22,119.19
2014-01-21,119.70
2014-01-17,120.93
2014-01-16,119.79
2014-01-15,119.66
2014-01-14,119.89
2014-01-13,121.02
2014-01-10,120.26
2014-01-09,118.46
2014-01-08,118.12
2014-01-07,118.82
2014-01-06,119.50
2014-01-03,119.29
2014-01-02,118.00
2013-12-31,116.12
2013-12-30,115.39
2013-12-27,117.12
2013-12-26,116.74
2013-12-24,116.10
2013-12-23,115.57
2013-12-20,115.94
2013-12-19,114.82
2013-12-18,117.61
2013-12-17,118.65
2013-12-16,119.69
2013-12-13,119.38
2013-12-12,118.29
2013-12-11,120.86
2013-12-10,121.82
2013-12-09,119.72
2013-12-06,118.55
2013-12-05,118.30
2013-12-04,119.96
2013-12-03,117.96
2013-12-02,117.58
2013-11-29,120.70
2013-11-27,119.46
2013-11-26,119.82
2013-11-25,120.46
2013-11-22,119.92
2013-11-21,119.94
2013-11-20,120.12
2013-11-19,122.95
2013-11-18,122.90
2013-11-15,124.32
2013-11-14,124.27
2013-11-13,122.85
2013-11-12,122.45
2013-11-11,123.87
2013-11-08,124.28
2013-11-07,126.16
2013-11-06,127.20
2013-11-05,126.56
2013-11-04,126.81
2013-11-01,126.95
2013-10-31,127.74
2013-10-30,129.60
2013-10-29,129.77
2013-10-28,130.56
2013-10-25,130.46
2013-10-24,129.90
2013-10-23,128.69
2013-10-22,129.34
2013-10-21,126.98
2013-10-18,126.85
2013-10-17,127.42
2013-10-16,123.54
2013-10-15,123.73
2013-10-14,122.83
2013-10-11,122.60
2013-10-10,124.27
2013-10-09,126.11
2013-10-08,127.40
2013-10-07,127.64
2013-10-04,126.53
2013-10-03,127.18
2013-10-02,127.06
2013-10-01,124.59
2013-09-30,128.18
2013-09-27,128.97
